,Company,Rating,No_of_ratings,Review,Size,Processor,RAM,Memory,OpSys,Price,MRP,ImgURL
903,Lenovo,4.2,31,3,40.0,Intel Core i5 Processor (11th Gen),16,512 GB SSD,Windows 11 ,54300,84603,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/b/0/15itl6-thin-and-light-laptop-lenovo-original-imagkwgzafjp33es.jpeg?q=70
904,ASUS,4.2,108,9,40.0,Intel Core i5 Processor (11th Gen),8,1 TB HDD|256 GB SSD,64 bit Windows 10 ,53990,78990,https://rukminim1.flixcart.com/image/312/312/kksmikw0/computer/d/x/s/vivobook-15-laptop-asus-original-imagy2d2srggjxx8.jpeg?q=70
905,HP,4.253596614950631,2841,241,40.0,Intel Core i5 Processor (10th Gen),8,512 GB HDD|512 GB SSD,64 bit Windows 10 ,54890,76800,https://rukminim1.flixcart.com/image/312/312/l48s9zk0/computer/q/u/t/250-g7-laptop-notebook-hp-original-imagf6n8stwdjfqj.jpeg?q=70
906,DELL,4.2,15,0,97.0,Intel Core i7 Processor (12th Gen),16,1 TB SSD,64 bit Windows 11 ,148000,175312,https://rukminim1.flixcart.com/image/312/312/l26hdow0/computer/d/r/a/g15-5521-se-gaming-laptop-dell-original-imagdktezaswjvsk.jpeg?q=70
907,Lenovo,4.2,265,21,40.0,Intel Core i5 Processor (12th Gen),8,512 GB SSD,64 bit Windows 11 ,54990,76890,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/a/c/3/-original-imagg56h9gat842s.jpeg?q=70
908,ASUS,5.0,3,0,36.0,Intel Core i7 Processor (10th Gen),16,1 TB SSD,64 bit Windows 10 ,142490,172990,https://rukminim1.flixcart.com/image/312/312/kf8kvbk0/computer/p/m/y/asus-original-imafvq2qyjm7humq.jpeg?q=70
909,DELL,4.1,240,27,40.0,Intel Core i3 Processor (10th Gen),8,1 TB HDD,64 bit Windows 10 ,40890,48900,https://rukminim1.flixcart.com/image/312/312/kgtqhe80/computer/h/a/y/dell-original-imafwyv9f2e52zzh.jpeg?q=70
910,Infinix,4.2,5878,1022,36.0,Intel Core i3 Processor (10th Gen),8,256 GB SSD,64 bit Windows 11 ,37990,49999,https://rukminim1.flixcart.com/image/312/312/kw3v0cw0/computer/7/f/t/inbook-x1-thin-and-light-laptop-infinix-original-imag8vfsvgu6jqxz.jpeg?q=70
911,Lenovo,4.253596614950631,2841,241,36.0,AMD Ryzen 7 Octa Core Processor,16,512 GB SSD,64 bit Windows 11 ,97890,76890,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/z/x/14alc7-thin-and-light-laptop-lenovo-original-imaggujjhgppfkfg.jpeg?q=70
912,acer,3.6,36,7,34.0,Intel Core i5 Processor (8th Gen),8,256 GB SSD,64 bit Windows 10 ,55490,65546,https://rukminim1.flixcart.com/image/312/312/k33c4nk0pkrrdj/computer/b/b/a/acer-na-thin-and-light-laptop-original-imafgb6msje4zrh6.jpeg?q=70
913,Lenovo,4.253596614950631,2841,241,36.0,Intel Core i7 Processor (8th Gen),16,512 GB SSD,64 bit Windows 10 ,244801,76890,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/s/7/y/thinkpad-p43s-thin-and-light-laptop-lenovo-original-imagau8rwey9zabh.jpeg?q=70
914,LG,4.253596614950631,2841,241,36.0,Intel Core i5 Processor (12th Gen),8,512 GB SSD,64 bit Windows 11 ,89990,127000,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/q/a/z/lg-gram-14z90q-g-aj56a2-thin-and-light-laptop-lg-gram-original-imagh89bshvjdpag.jpeg?q=70
915,HP,4.2,253,20,36.0,AMD Ryzen 5 Hexa Core Processor,16,512 GB SSD,64 bit Windows 11 ,49990,59240,https://rukminim1.flixcart.com/image/312/312/l5fnhjk0/computer/c/p/c/14s-fy1005au-thin-and-light-laptop-hp-original-imagg4dgtu77mzye.jpeg?q=70
916,Lenovo,4.253596614950631,2841,241,40.0,Intel Core i5 Processor (12th Gen),16,512 GB SSD,Windows 11 ,84990,103900,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/u/w/15iah7-gaming-laptop-lenovo-original-imagkwgynhhrynkc.jpeg?q=70
917,HP,4.4,292,23,36.0,Intel Core i5 Processor (11th Gen),16,512 GB SSD,64 bit Windows 11 ,68000,79294,https://rukminim1.flixcart.com/image/312/312/kyvvtzk0/computer/2/7/l/-original-imagbygbzq27x6sy.jpeg?q=70
918,ASUS,4.4,9,3,40.0,Intel Core i9 Processor (11th Gen),16,1 TB SSD,64 bit Windows 10 ,144990,188990,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/2/o/q/-original-imagetjfvgfsm24g.jpeg?q=70
919,Lenovo,4.3,2841,241,40.0,Intel Core i5 Processor (11th Gen),8,512 GB SSD,Windows 11 ,55990,83890,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/d/c/gaming-3-gaming-laptop-lenovo-original-imaghtkrg8rw6jtp.jpeg?q=70
920,HP,4.2,2065,222,40.0,AMD Ryzen 3 Quad Core Processor,8,512 GB SSD,64 bit Windows 11 ,37590,47700,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/6/i/-original-imaggshd5zgfe8ev.jpeg?q=70
